"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HHDI","NET","AGRWTH","A","2009",0.631335443869078,
"GRC","HHDI","NET","AGRWTH","A","2010",-10.5006427462999,
"GRC","HHDI","NET","AGRWTH","A","2011",-10.5605717214914,
"GRC","HHDI","NET","AGRWTH","A","2012",-9.75793220170962,
"GRC","HHDI","NET","AGRWTH","A","2013",-6.56464298229496,
"GRC","HHDI","NET","AGRWTH","A","2014",-1.60593373783114,
"HUN","HHDI","NET","AGRWTH","A","1996",-3.55410653019535,
"HUN","HHDI","NET","AGRWTH","A","1997",-0.507768444549209,
"HUN","HHDI","NET","AGRWTH","A","1998",1.92498047261292,
"HUN","HHDI","NET","AGRWTH","A","1999",1.52002275128949,
"HUN","HHDI","NET","AGRWTH","A","2000",1.21673271073999,
"HUN","HHDI","NET","AGRWTH","A","2001",4.87560164548041,
"HUN","HHDI","NET","AGRWTH","A","2002",4.98260205739842,
"HUN","HHDI","NET","AGRWTH","A","2003",6.15025571233831,
"HUN","HHDI","NET","AGRWTH","A","2004",4.37769595905346,
"HUN","HHDI","NET","AGRWTH","A","2005",4.00603502971733,
"HUN","HHDI","NET","AGRWTH","A","2006",1.60380293333983,
"HUN","HHDI","NET","AGRWTH","A","2007",-4.06724665386038,
"HUN","HHDI","NET","AGRWTH","A","2008",-1.47904229586862,
"HUN","HHDI","NET","AGRWTH","A","2009",-3.66020068078646,
"HUN","HHDI","NET","AGRWTH","A","2010",-2.60198843163223,
"HUN","HHDI","NET","AGRWTH","A","2011",3.30907539511054,
"HUN","HHDI","NET","AGRWTH","A","2012",-3.10175638893482,
"HUN","HHDI","NET","AGRWTH","A","2013",1.64390881663727,
"HUN","HHDI","NET","AGRWTH","A","2014",2.41320400497444,
"IRL","HHDI","NET","AGRWTH","A","2000",4.84193888589685,
"IRL","HHDI","NET","AGRWTH","A","2001",10.4721341561292,
"IRL","HHDI","NET","AGRWTH","A","2002",3.08843911901679,
"IRL","HHDI","NET","AGRWTH","A","2003",3.06356180178389,
"IRL","HHDI","NET","AGRWTH","A","2004",4.67733867754238,
"IRL","HHDI","NET","AGRWTH","A","2005",6.54617342027885,
"IRL","HHDI","NET","AGRWTH","A","2006",3.90350176394948,
"IRL","HHDI","NET","AGRWTH","A","2007",6.32944011233688,
"IRL","HHDI","NET","AGRWTH","A","2008",5.25710508503481,
"IRL","HHDI","NET","AGRWTH","A","2009",0.935673144532569,
"IRL","HHDI","NET","AGRWTH","A","2010",-2.65868762375655,
"IRL","HHDI","NET","AGRWTH","A","2011",-2.86446934662473,
"IRL","HHDI","NET","AGRWTH","A","2012",-1.8490674178481,
"IRL","HHDI","NET","AGRWTH","A","2013",-1.03359865557152,
"IRL","HHDI","NET","AGRWTH","A","2014",1.90942822333489,
"ITA","HHDI","NET","AGRWTH","A","1996",1.36771051750807,
"ITA","HHDI","NET","AGRWTH","A","1997",0.146250316754362,
"ITA","HHDI","NET","AGRWTH","A","1998",-0.858204161604304,
"ITA","HHDI","NET","AGRWTH","A","1999",1.05980481345814,
"ITA","HHDI","NET","AGRWTH","A","2000",1.10681304964936,
"ITA","HHDI","NET","AGRWTH","A","2001",2.64558929257966,
"ITA","HHDI","NET","AGRWTH","A","2002",1.04796198607928,
"ITA","HHDI","NET","AGRWTH","A","2003",0.644596721657669,
"ITA","HHDI","NET","AGRWTH","A","2004",1.44207738061467,
"ITA","HHDI","NET","AGRWTH","A","2005",0.558276907281625,
"ITA","HHDI","NET","AGRWTH","A","2006",1.02131044485612,
"ITA","HHDI","NET","AGRWTH","A","2007",1.21227149796463,
"ITA","HHDI","NET","AGRWTH","A","2008",-1.06089481295991,
"ITA","HHDI","NET","AGRWTH","A","2009",-1.86369070662399,
"ITA","HHDI","NET","AGRWTH","A","2010",-1.42440650195803,
"ITA","HHDI","NET","AGRWTH","A","2011",-0.577140381227497,
"ITA","HHDI","NET","AGRWTH","A","2012",-4.92797779928962,
"ITA","HHDI","NET","AGRWTH","A","2013",-0.663352142053073,
"ITA","HHDI","NET","AGRWTH","A","2014",-0.024861112953494,
"ITA","HHDI","NET","AGRWTH","A","2015",0.613414539099465,
"JPN","HHDI","NET","AGRWTH","A","1995",1.51578472117053,
"JPN","HHDI","NET","AGRWTH","A","1996",0.497861731779329,
"JPN","HHDI","NET","AGRWTH","A","1997",0.367537501385073,
"JPN","HHDI","NET","AGRWTH","A","1998",0.451987740635082,
"JPN","HHDI","NET","AGRWTH","A","1999",0.176116957644031,
"JPN","HHDI","NET","AGRWTH","A","2000",-0.155504314846893,
"JPN","HHDI","NET","AGRWTH","A","2001",-0.978528581326025,
"JPN","HHDI","NET","AGRWTH","A","2002",1.16667227475924,
"JPN","HHDI","NET","AGRWTH","A","2003",0.245270034051539,
"JPN","HHDI","NET","AGRWTH","A","2004",1.19199699430389,
"JPN","HHDI","NET","AGRWTH","A","2005",1.03140114791757,
"JPN","HHDI","NET","AGRWTH","A","2006",0.811798813165448,
"JPN","HHDI","NET","AGRWTH","A","2007",1.01059017537113,
"JPN","HHDI","NET","AGRWTH","A","2008",-0.824020708747325,
"JPN","HHDI","NET","AGRWTH","A","2009",1.42377004655066,
"JPN","HHDI","NET","AGRWTH","A","2010",2.52883276536231,
"JPN","HHDI","NET","AGRWTH","A","2011",1.05213276500704,
"JPN","HHDI","NET","AGRWTH","A","2012",1.29418926788503,
"JPN","HHDI","NET","AGRWTH","A","2013",0.609154044478843,
"JPN","HHDI","NET","AGRWTH","A","2014",-0.918310665395795,
"KOR","HHDI","NET","AGRWTH","A","1976",13.0625576138638,
"KOR","HHDI","NET","AGRWTH","A","1977",9.04995126350033,
"KOR","HHDI","NET","AGRWTH","A","1978",11.855292730035,
